iter	Passed	Remaining
456	829	986
457	830	983
458	831	980
459	832	977
460	833	974
461	834	971
462	835	968
463	836	966
464	837	963
465	838	961
466	840	958
467	841	956
468	841	953
469	842	950
470	843	947
471	844	944
472	845	942
473	846	939
474	847	936
475	848	933
476	849	931
477	850	928
478	851	925
479	851	922
480	853	920
481	854	917
482	854	915
483	855	912
484	856	909
485	857	907
486	858	904
487	859	901
488	860	899
489	861	896
490	862	894
491	863	891
492	864	889
493	865	886
494	866	884
495	868	882
496	870	880
497	871	878
498	871	875
499	872	872
500	873	870
501	874	867
502	875	865
503	876	862
504	877	860
505	878	857
506	879	855
507	880	852
508	881	850
509	883	848
510	884	846
511	885	843
512	886	841
513	887	839
514	888	836
515	889	834
516	890	831
517	891	829
518	892	826
519	893	824
520	893	821
521	894	819
522	895	816
523	896	814
524	898	812
525	899	810
526	900	807
527	901	805
528	902	803
529	903	801
530	904	799
531	905	796
532	906	794
533	909	793
534	911	791
535	914	792
536	916	789
537	917	788
538	919	786
539	920	784
540	921	782
541	923	780
542	926	779
543	929	778
544	930	776
545	931	774
546	933	772
547	934	770
548	935	768
549	936	766
550	937	764
551	939	762
552	943	762
553	944	760
554	945	758
555	946	755
556	948	754
557	949	752
558	950	750
559	952	748
560	953	745
561	954	744
562	957	743
563	959	741
564	960	739
565	961	737
566	963	735
567	965	734
568	967	732
569	968	730
570	969	728
571	971	727
572	972	725
573	973	722
574	975	720
575	976	718
576	977	716
577	978	714
578	979	712
579	980	710
580	981	708
581	982	705
582	984	704
583	988	703
584	989	702
585	990	700
586	992	698
587	994	696
588	996	695
589	997	693
590	998	690
591	999	689
592	1001	687
593	1004	686
594	1005	684
595	1006	681
596	1007	679
597	1007	677
598	1008	675
599	1009	673
600	1010	670
601	1011	668
602	1012	666
603	1013	664
604	1015	662
605	1016	660
606	1017	658
607	1018	656
608	1019	654
609	1020	652
610	1021	650
611	1022	647
612	1022	645
613	1023	643
614	1024	641
615	1025	639
616	1026	637
617	1027	635
618	1029	633
619	1030	631
620	1031	629
621	1032	627
622	1033	625
623	1034	623
624	1035	621
625	1036	619
626	1037	617
627	1038	614
628	1038	612
629	1039	610
630	1040	608
631	1041	606
632	1042	604
633	1044	602
634	1045	601
635	1046	599
636	1047	597
637	1048	594
638	1049	592
639	1050	590
640	1051	588
641	1052	586
642	1053	584
643	1054	582
644	1055	580
645	1055	578
646	1056	576
647	1058	574
648	1059	573
649	1061	571
650	1062	569
651	1064	567
652	1064	565
653	1065	563
654	1066	561
655	1067	559
656	1068	557
657	1069	555
658	1070	553
659	1071	551
660	1073	550
661	1074	548
662	1075	546
663	1076	544
664	1077	542
665	1078	540
666	1079	538
667	1080	536
668	1081	535
669	1082	533
670	1083	531
671	1084	529
672	1085	527
673	1088	526
674	1089	524
675	1090	522
676	1091	520
677	1092	518
678	1093	516
679	1094	514
680	1095	513
681	1096	511
682	1097	509
683	1097	507
684	1098	505
685	1099	503
686	1101	501
687	1102	499
688	1103	498
689	1104	496
690	1105	494
691	1106	492
692	1107	490
693	1108	488
694	1109	486
695	1110	484
696	1111	483
697	1111	481
698	1112	479
699	1113	477
700	1115	475
701	1116	473
702	1117	472
703	1118	470
704	1119	468
705	1120	466
706	1121	464
707	1122	462
708	1122	460
709	1123	459
710	1124	457
711	1125	455
712	1126	453
713	1127	451
714	1128	449
715	1130	448
716	1131	446
717	1134	445
718	1135	443
719	1136	441
720	1137	439
721	1137	438
722	1138	436
723	1139	434
724	1140	432
725	1141	430
726	1142	429
727	1143	427
728	1145	425
729	1146	424
730	1147	422
731	1148	420
732	1149	418
733	1150	416
734	1151	415
735	1152	413
736	1153	411
737	1154	409
738	1155	407
739	1156	406
740	1156	404
741	1157	402
742	1159	401
743	1161	399
744	1162	397
745	1163	396
746	1164	394
747	1165	392
748	1166	390
749	1167	389
750	1168	387
751	1168	385
752	1169	383
753	1170	381
754	1171	380
755	1172	378
756	1174	376
757	1175	375
758	1176	373
759	1177	371
760	1178	370
761	1179	368
762	1180	366
763	1181	364
764	1182	363
765	1182	361
766	1183	359
767	1184	357
768	1185	356
769	1186	354
770	1188	352
771	1189	351
772	1190	349
773	1191	347
774	1192	346
775	1193	344
776	1194	342
777	1195	341
778	1196	339
779	1197	337
780	1198	336
781	1199	334
782	1200	332
783	1201	330
784	1202	329
785	1203	327
786	1204	326
787	1205	324
788	1206	322
789	1207	321
790	1208	319
791	1209	317
792	1210	315
793	1211	314
794	1212	312
795	1213	310
796	1214	309
797	1215	307
798	1215	305
799	1217	304
800	1218	302
801	1219	301
802	1220	299
803	1221	297
804	1222	296
805	1223	294
806	1224	292
807	1225	291
808	1226	289
809	1227	287
810	1228	286
811	1229	284
812	1229	282
813	1231	281
814	1232	279
815	1234	278
816	1235	276
817	1235	274
818	1236	273
819	1237	271
820	1238	270
821	1239	268
822	1240	266
823	1241	265
824	1242	263
825	1243	261
826	1244	260
827	1245	258
828	1246	257
829	1248	255
830	1249	254
831	1249	252
832	1250	250
833	1251	249
834	1252	247
835	1253	245
836	1254	244
837	1255	242
838	1256	241
839	1257	239
840	1258	237
841	1259	236
842	1261	234
843	1264	233
844	1265	232
845	1265	230
846	1266	228
847	1267	227
848	1268	225
849	1269	224
850	1270	222
851	1271	220
852	1272	219
853	1273	217
854	1274	216
855	1276	214
856	1277	213
857	1278	211
858	1279	209
859	1280	208
860	1280	206
861	1281	205
862	1282	203
863	1283	202
864	1284	200
865	1285	198
866	1286	197
867	1287	195
868	1289	194
869	1290	192
870	1291	191
871	1292	189
872	1293	188
873	1294	186
874	1295	185
875	1296	183
876	1297	181
877	1298	180
878	1299	178
879	1299	177
880	1300	175
881	1301	174
882	1302	172
883	1304	171
884	1305	169
885	1306	168
886	1307	166
887	1308	165
888	1309	163
889	1310	161
890	1311	160
891	1312	158
892	1313	157
893	1313	155
894	1314	154
895	1315	152
896	1316	151
897	1318	149
898	1319	148
899	1321	146
900	1321	145
901	1322	143
902	1323	142
903	1324	140
904	1325	139
905	1326	137
906	1327	136
907	1328	134
908	1329	133
909	1330	131
910	1331	130
911	1332	128
912	1337	127
913	1340	126
914	1343	124
915	1345	123
916	1347	121
917	1349	120
918	1351	119
919	1353	117
920	1355	116
921	1356	114
922	1357	113
923	1358	111
924	1360	110
925	1361	108
926	1362	107
927	1363	105
928	1366	104
929	1368	103
930	1369	101
931	1370	100
932	1371	98
933	1372	97
934	1373	95
935	1374	93
936	1375	92
937	1376	90
938	1377	89
939	1384	88
940	1388	87
941	1389	85
942	1390	84
943	1391	82
944	1392	81
945	1393	79
946	1396	78
947	1398	76
948	1399	75
949	1400	73
950	1400	72
951	1402	70
952	1403	69
953	1405	67
954	1407	66
955	1416	65
956	1419	63
957	1421	62
958	1423	60
959	1428	59
960	1433	58
961	1441	56
962	1445	55
963	1447	54
964	1455	52
965	1459	51
966	1475	50
967	1486	49
968	1489	47
969	1491	46
970	1493	44
971	1496	43
972	1499	41
973	1501	40
974	1504	38
975	1512	37
976	1515	35
977	1516	34
978	1518	32
979	1519	31
980	1522	29
981	1523	27
982	1525	26
983	1526	24
984	1527	23
985	1528	21
986	1529	20
987	1531	18
988	1532	17
989	1534	15
990	1536	13
991	1537	12
992	1538	10
993	1539	9
994	1541	7
995	1546	6
996	1548	4
997	1550	3
998	1552	1
999	1554	0
